,Time to First Fixation_ADS1_ADS1_N,Time to First Fixation_ADS1_ADS1_Mean,Time to First Fixation_ADS1_ADS1_Sum,Time to First Fixation_ADS1_ADS1_N,Time to First Fixation_ADS1_ADS1_Mean,Time to First Fixation_ADS1_ADS1_Sum,Time to First Fixation_ADS1_ADS1_N,Time to First Fixation_ADS1_ADS1_Mean,Time to First Fixation_ADS1_ADS1_Sum,Time to First Fixation_ADS1_ADS1_N,Time to First Fixation_ADS1_ADS1_Mean,Time to First Fixation_ADS1_ADS1_Sum,Time to First Fixation_ADS2_ADS2_N,Time to First Fixation_ADS2_ADS2_Mean,Time to First Fixation_ADS2_ADS2_Sum,Time to First Fixation_ADS2_ADS2_N,Time to First Fixation_ADS2_ADS2_Mean,Time to First Fixation_ADS2_ADS2_Sum,Time to First Fixation_ADS2_ADS2_N,Time to First Fixation_ADS2_ADS2_Mean,Time to First Fixation_ADS2_ADS2_Sum,Time to First Fixation_ADS2_ADS2_N,Time to First Fixation_ADS2_ADS2_Mean,Time to First Fixation_ADS2_ADS2_Sum,Time to First Fixation_ADS3_ADS3_N,Time to First Fixation_ADS3_ADS3_Mean,Time to First Fixation_ADS3_ADS3_Sum,Time to First Fixation_ADS3_ADS3_N,Time to First Fixation_ADS3_ADS3_Mean,Time to First Fixation_ADS3_ADS3_Sum,Time to First Fixation_ADS3_ADS3_N,Time to First Fixation_ADS3_ADS3_Mean,Time to First Fixation_ADS3_ADS3_Sum,Time to First Fixation_ADS3_ADS3_N,Time to First Fixation_ADS3_ADS3_Mean,Time to First Fixation_ADS3_ADS3_Sum,Time to First Fixation_ADS4_ADS4_N,Time to First Fixation_ADS4_ADS4_Mean,Time to First Fixation_ADS4_ADS4_Sum,Time to First Fixation_ADS4_ADS4_N,Time to First Fixation_ADS4_ADS4_Mean,Time to First Fixation_ADS4_ADS4_Sum,Time to First Fixation_ADS4_ADS4_N,Time to First Fixation_ADS4_ADS4_Mean,Time to First Fixation_ADS4_ADS4_Sum,Time to First Fixation_ADS4_ADS4_N,Time to First Fixation_ADS4_ADS4_Mean,Time to First Fixation_ADS4_ADS4_Sum,Time to First Fixation_ADS5_ADS5_N,Time to First Fixation_ADS5_ADS5_Mean,Time to First Fixation_ADS5_ADS5_Sum,Time to First Fixation_ADS5_ADS5_N,Time to First Fixation_ADS5_ADS5_Mean,Time to First Fixation_ADS5_ADS5_Sum,Time to First Fixation_ADS5_ADS5_N,Time to First Fixation_ADS5_ADS5_Mean,Time to First Fixation_ADS5_ADS5_Sum,Time to First Fixation_ADS5_ADS5_N,Time to First Fixation_ADS5_ADS5_Mean,Time to First Fixation_ADS5_ADS5_Sum,Time to First Fixation_ADS6_ADS6_N,Time to First Fixation_ADS6_ADS6_Mean,Time to First Fixation_ADS6_ADS6_Sum,Time to First Fixation_ADS6_ADS6_N,Time to First Fixation_ADS6_ADS6_Mean,Time to First Fixation_ADS6_ADS6_Sum,Time to First Fixation_ADS6_ADS6_N,Time to First Fixation_ADS6_ADS6_Mean,Time to First Fixation_ADS6_ADS6_Sum,Time to First Fixation_ADS6_ADS6_N,Time to First Fixation_ADS6_ADS6_Mean,Time to First Fixation_ADS6_ADS6_Sum,Time to First Fixation_ADS7_ADS7_N,Time to First Fixation_ADS7_ADS7_Mean,Time to First Fixation_ADS7_ADS7_Sum,Time to First Fixation_ADS7_ADS7_N,Time to First Fixation_ADS7_ADS7_Mean,Time to First Fixation_ADS7_ADS7_Sum,Time to First Fixation_ADS7_ADS7_N,Time to First Fixation_ADS7_ADS7_Mean,Time to First Fixation_ADS7_ADS7_Sum,Time to First Fixation_ADS7_ADS7_N,Time to First Fixation_ADS7_ADS7_Mean,Time to First Fixation_ADS7_ADS7_Sum,Time to First Fixation_ADS8_ADS8_N,Time to First Fixation_ADS8_ADS8_Mean,Time to First Fixation_ADS8_ADS8_Sum,Time to First Fixation_ADS8_ADS8_N,Time to First Fixation_ADS8_ADS8_Mean,Time to First Fixation_ADS8_ADS8_Sum,Time to First Fixation_ADS8_ADS8_N,Time to First Fixation_ADS8_ADS8_Mean,Time to First Fixation_ADS8_ADS8_Sum,Time to First Fixation_ADS8_ADS8_N,Time to First Fixation_ADS8_ADS8_Mean,Time to First Fixation_ADS8_ADS8_Sum,Time to First Fixation_IDS1_IDS1_N,Time to First Fixation_IDS1_IDS1_Mean,Time to First Fixation_IDS1_IDS1_Sum,Time to First Fixation_IDS1_IDS1_N,Time to First Fixation_IDS1_IDS1_Mean,Time to First Fixation_IDS1_IDS1_Sum,Time to First Fixation_IDS1_IDS1_N,Time to First Fixation_IDS1_IDS1_Mean,Time to First Fixation_IDS1_IDS1_Sum,Time to First Fixation_IDS1_IDS1_N,Time to First Fixation_IDS1_IDS1_Mean,Time to First Fixation_IDS1_IDS1_Sum,Time to First Fixation_IDS2_IDS2_N,Time to First Fixation_IDS2_IDS2_Mean,Time to First Fixation_IDS2_IDS2_Sum,Time to First Fixation_IDS2_IDS2_N,Time to First Fixation_IDS2_IDS2_Mean,Time to First Fixation_IDS2_IDS2_Sum,Time to First Fixation_IDS2_IDS2_N,Time to First Fixation_IDS2_IDS2_Mean,Time to First Fixation_IDS2_IDS2_Sum,Time to First Fixation_IDS2_IDS2_N,Time to First Fixation_IDS2_IDS2_Mean,Time to First Fixation_IDS2_IDS2_Sum,Time to First Fixation_IDS3_IDS3_N,Time to First Fixation_IDS3_IDS3_Mean,Time to First Fixation_IDS3_IDS3_Sum,Time to First Fixation_IDS3_IDS3_N,Time to First Fixation_IDS3_IDS3_Mean,Time to First Fixation_IDS3_IDS3_Sum,Time to First Fixation_IDS3_IDS3_N,Time to First Fixation_IDS3_IDS3_Mean,Time to First Fixation_IDS3_IDS3_Sum,Time to First Fixation_IDS3_IDS3_N,Time to First Fixation_IDS3_IDS3_Mean,Time to First Fixation_IDS3_IDS3_Sum,Time to First Fixation_IDS4_IDS4_N,Time to First Fixation_IDS4_IDS4_Mean,Time to First Fixation_IDS4_IDS4_Sum,Time to First Fixation_IDS4_IDS4_N,Time to First Fixation_IDS4_IDS4_Mean,Time to First Fixation_IDS4_IDS4_Sum,Time to First Fixation_IDS4_IDS4_N,Time to First Fixation_IDS4_IDS4_Mean,Time to First Fixation_IDS4_IDS4_Sum,Time to First Fixation_IDS4_IDS4_N,Time to First Fixation_IDS4_IDS4_Mean,Time to First Fixation_IDS4_IDS4_Sum,Time to First Fixation_IDS5_IDS5_N,Time to First Fixation_IDS5_IDS5_Mean,Time to First Fixation_IDS5_IDS5_Sum,Time to First Fixation_IDS5_IDS5_N,Time to First Fixation_IDS5_IDS5_Mean,Time to First Fixation_IDS5_IDS5_Sum,Time to First Fixation_IDS5_IDS5_N,Time to First Fixation_IDS5_IDS5_Mean,Time to First Fixation_IDS5_IDS5_Sum,Time to First Fixation_IDS5_IDS5_N,Time to First Fixation_IDS5_IDS5_Mean,Time to First Fixation_IDS5_IDS5_Sum,Time to First Fixation_IDS6_IDS6_N,Time to First Fixation_IDS6_IDS6_Mean,Time to First Fixation_IDS6_IDS6_Sum,Time to First Fixation_IDS6_IDS6_N,Time to First Fixation_IDS6_IDS6_Mean,Time to First Fixation_IDS6_IDS6_Sum,Time to First Fixation_IDS6_IDS6_N,Time to First Fixation_IDS6_IDS6_Mean,Time to First Fixation_IDS6_IDS6_Sum,Time to First Fixation_IDS6_IDS6_N,Time to First Fixation_IDS6_IDS6_Mean,Time to First Fixation_IDS6_IDS6_Sum,Time to First Fixation_IDS7_IDS7_N,Time to First Fixation_IDS7_IDS7_Mean,Time to First Fixation_IDS7_IDS7_Sum,Time to First Fixation_IDS7_IDS7_N,Time to First Fixation_IDS7_IDS7_Mean,Time to First Fixation_IDS7_IDS7_Sum,Time to First Fixation_IDS7_IDS7_N,Time to First Fixation_IDS7_IDS7_Mean,Time to First Fixation_IDS7_IDS7_Sum,Time to First Fixation_IDS7_IDS7_N,Time to First Fixation_IDS7_IDS7_Mean,Time to First Fixation_IDS7_IDS7_Sum,Time to First Fixation_IDS8_IDS8_N,Time to First Fixation_IDS8_IDS8_Mean,Time to First Fixation_IDS8_IDS8_Sum,Time to First Fixation_IDS8_IDS8_N,Time to First Fixation_IDS8_IDS8_Mean,Time to First Fixation_IDS8_IDS8_Sum,Time to First Fixation_IDS8_IDS8_N,Time to First Fixation_IDS8_IDS8_Mean,Time to First Fixation_IDS8_IDS8_Sum,Time to First Fixation_IDS8_IDS8_N,Time to First Fixation_IDS8_IDS8_Mean,Time to First Fixation_IDS8_IDS8_Sum,Time to First Fixation_train1_train1_N,Time to First Fixation_train1_train1_Mean,Time to First Fixation_train1_train1_Sum,Time to First Fixation_train1_train1_N,Time to First Fixation_train1_train1_Mean,Time to First Fixation_train1_train1_Sum,Time to First Fixation_train1_train1_N,Time to First Fixation_train1_train1_Mean,Time to First Fixation_train1_train1_Sum,Time to First Fixation_train1_train1_N,Time to First Fixation_train1_train1_Mean,Time to First Fixation_train1_train1_Sum,Time to First Fixation_train2_train2_N,Time to First Fixation_train2_train2_Mean,Time to First Fixation_train2_train2_Sum,Time to First Fixation_train2_train2_N,Time to First Fixation_train2_train2_Mean,Time to First Fixation_train2_train2_Sum,Time to First Fixation_train2_train2_N,Time to First Fixation_train2_train2_Mean,Time to First Fixation_train2_train2_Sum,Time to First Fixation_train2_train2_N,Time to First Fixation_train2_train2_Mean,Time to First Fixation_train2_train2_Sum
MB6_S11_46607,-,-,-,1,0,0,-,-,-,-,-,-,-,-,-,1,0,0,-,-,-,-,-,-,-,-,-,1,0,0,-,-,-,-,-,-,-,-,-,1,0.01,0.01,-,-,-,-,-,-,-,-,-,1,2.71,2.71,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,0.04,0.04,-,-,-,-,-,-,-,-,-,1,0,0,-,-,-,-,-,-,-,-,-,1,0,0,-,-,-,-,-,-,-,-,-,1,1.74,1.74,-,-,-,-,-,-,-,-,-,1,0.24,0.24,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,0,0,-,-,-,-,-,-,-,-,-,1,0,0,-,-,-,-,-,-
MB6_S12_45797,-,-,-,-,-,-,1,0,0,-,-,-,-,-,-,-,-,-,1,0.01,0.01,-,-,-,-,-,-,-,-,-,1,0,0,-,-,-,-,-,-,-,-,-,1,0,0,-,-,-,-,-,-,-,-,-,1,0,0,-,-,-,-,-,-,-,-,-,1,0.39,0.39,-,-,-,-,-,-,-,-,-,1,0,0,-,-,-,-,-,-,-,-,-,1,0,0,-,-,-,-,-,-,-,-,-,1,0,0,-,-,-,-,-,-,-,-,-,1,0,0,-,-,-,-,-,-,-,-,-,1,0,0,-,-,-,-,-,-,-,-,-,1,0,0,-,-,-,-,-,-,-,-,-,1,0,0,-,-,-,-,-,-,-,-,-,1,1.15,1.15,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,0,0,-,-,-,-,-,-,-,-,-,1,0,0,-,-,-,-,-,-,-,-,-,1,0,0,-,-,-
MB6_S13_46742,-,-,-,-,-,-,1,0,0,-,-,-,-,-,-,-,-,-,1,0,0,-,-,-,-,-,-,-,-,-,1,0,0,-,-,-,-,-,-,-,-,-,1,0,0,-,-,-,-,-,-,-,-,-,1,0,0,-,-,-,-,-,-,-,-,-,1,0.02,0.02,-,-,-,-,-,-,-,-,-,1,0,0,-,-,-,-,-,-,-,-,-,1,2.36,2.36,-,-,-,-,-,-,-,-,-,1,0,0,-,-,-,-,-,-,-,-,-,1,0,0,-,-,-,-,-,-,-,-,-,1,0.23,0.23,-,-,-,-,-,-,-,-,-,1,0,0,-,-,-,-,-,-,-,-,-,1,0,0,-,-,-,-,-,-,-,-,-,1,0,0,-,-,-,-,-,-,-,-,-,1,0,0,-,-,-,-,-,-,-,-,-,1,0,0,-,-,-,-,-,-,-,-,-,1,0,0,-,-,-,-,-,-,-,-,-,1,0,0,-,-,-
MB6_S14_46748,-,-,-,-,-,-,-,-,-,1,0,0,-,-,-,-,-,-,-,-,-,1,0.02,0.02,-,-,-,-,-,-,-,-,-,1,0,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,0.88,0.88,-,-,-,-,-,-,-,-,-,1,0.29,0.29,-,-,-,-,-,-,-,-,-,1,0.69,0.69,-,-,-,-,-,-,-,-,-,1,0,0,-,-,-,-,-,-,-,-,-,1,0.35,0.35,-,-,-,-,-,-,-,-,-,1,0,0,-,-,-,-,-,-,-,-,-,1,0.16,0.16,-,-,-,-,-,-,-,-,-,1,0.84,0.84,-,-,-,-,-,-,-,-,-,1,0,0,-,-,-,-,-,-,-,-,-,1,0.44,0.44,-,-,-,-,-,-,-,-,-,1,0.07,0.07,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,0,0,-,-,-,-,-,-,-,-,-,1,0,0
MB6_S15_48319,1,0.01,0.01,-,-,-,-,-,-,-,-,-,1,0,0,-,-,-,-,-,-,-,-,-,1,0,0,-,-,-,-,-,-,-,-,-,1,0,0,-,-,-,-,-,-,-,-,-,1,0,0,-,-,-,-,-,-,-,-,-,1,0,0,-,-,-,-,-,-,-,-,-,1,0,0,-,-,-,-,-,-,-,-,-,1,3.59,3.59,-,-,-,-,-,-,-,-,-,1,0,0,-,-,-,-,-,-,-,-,-,1,0,0,-,-,-,-,-,-,-,-,-,1,0.9,0.9,-,-,-,-,-,-,-,-,-,1,0,0,-,-,-,-,-,-,-,-,-,1,0,0,-,-,-,-,-,-,-,-,-,1,0,0,-,-,-,-,-,-,-,-,-,1,0,0,-,-,-,-,-,-,-,-,-,1,0,0,-,-,-,-,-,-,-,-,-,1,0,0,-,-,-,-,-,-,-,-,-,1,0,0,-,-,-,-,-,-,-,-,-
MB6_S16_46579,-,-,-,1,0,0,-,-,-,-,-,-,-,-,-,1,0,0,-,-,-,-,-,-,-,-,-,1,0,0,-,-,-,-,-,-,-,-,-,1,0,0,-,-,-,-,-,-,-,-,-,1,0,0,-,-,-,-,-,-,-,-,-,1,0,0,-,-,-,-,-,-,-,-,-,1,0,0,-,-,-,-,-,-,-,-,-,1,0,0,-,-,-,-,-,-,-,-,-,1,0.2,0.2,-,-,-,-,-,-,-,-,-,1,0.38,0.38,-,-,-,-,-,-,-,-,-,1,0,0,-,-,-,-,-,-,-,-,-,1,0,0,-,-,-,-,-,-,-,-,-,1,0,0,-,-,-,-,-,-,-,-,-,1,0,0,-,-,-,-,-,-,-,-,-,1,0,0,-,-,-,-,-,-,-,-,-,1,0,0,-,-,-,-,-,-,-,-,-,1,0.21,0.21,-,-,-,-,-,-,-,-,-,1,0,0,-,-,-,-,-,-
MB6_S17_48331,-,-,-,1,0.65,0.65,-,-,-,-,-,-,-,-,-,1,0,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,0.23,0.23,-,-,-,-,-,-,-,-,-,1,0,0,-,-,-,-,-,-,-,-,-,1,0.02,0.02,-,-,-,-,-,-,-,-,-,1,0,0,-,-,-,-,-,-,-,-,-,1,0.19,0.19,-,-,-,-,-,-,-,-,-,1,0.52,0.52,-,-,-,-,-,-,-,-,-,1,0.7,0.7,-,-,-,-,-,-,-,-,-,1,0.55,0.55,-,-,-,-,-,-,-,-,-,1,0.37,0.37,-,-,-,-,-,-,-,-,-,1,0.05,0.05,-,-,-,-,-,-,-,-,-,1,15.12,15.12,-,-,-,-,-,-,-,-,-,1,0.05,0.05,-,-,-,-,-,-,-,-,-,1,0,0,-,-,-,-,-,-,-,-,-,1,0.04,0.04,-,-,-,-,-,-,-,-,-,1,0,0,-,-,-,-,-,-
MB6_S18_47191,-,-,-,-,-,-,-,-,-,1,0,0,-,-,-,-,-,-,-,-,-,1,0.08,0.08,-,-,-,-,-,-,-,-,-,1,0,0,-,-,-,-,-,-,-,-,-,1,0.02,0.02,-,-,-,-,-,-,-,-,-,1,0,0,-,-,-,-,-,-,-,-,-,1,0,0,-,-,-,-,-,-,-,-,-,1,0.24,0.24,-,-,-,-,-,-,-,-,-,1,0,0,-,-,-,-,-,-,-,-,-,1,0,0,-,-,-,-,-,-,-,-,-,1,0.44,0.44,-,-,-,-,-,-,-,-,-,1,0,0,-,-,-,-,-,-,-,-,-,1,0,0,-,-,-,-,-,-,-,-,-,1,0.59,0.59,-,-,-,-,-,-,-,-,-,1,0,0,-,-,-,-,-,-,-,-,-,1,0,0,-,-,-,-,-,-,-,-,-,1,0.71,0.71,-,-,-,-,-,-,-,-,-,1,0.01,0.01,-,-,-,-,-,-,-,-,-,1,0,0
MB6_S19_48393,-,-,-,-,-,-,-,-,-,1,0,0,-,-,-,-,-,-,-,-,-,1,0,0,-,-,-,-,-,-,-,-,-,1,0,0,-,-,-,-,-,-,-,-,-,1,0,0,-,-,-,-,-,-,-,-,-,1,0,0,-,-,-,-,-,-,-,-,-,1,0,0,-,-,-,-,-,-,-,-,-,1,0,0,-,-,-,-,-,-,-,-,-,1,0,0,-,-,-,-,-,-,-,-,-,1,0,0,-,-,-,-,-,-,-,-,-,1,0.81,0.81,-,-,-,-,-,-,-,-,-,1,0,0,-,-,-,-,-,-,-,-,-,1,0,0,-,-,-,-,-,-,-,-,-,1,0,0,-,-,-,-,-,-,-,-,-,1,0.01,0.01,-,-,-,-,-,-,-,-,-,1,0,0,-,-,-,-,-,-,-,-,-,1,0,0,-,-,-,-,-,-,-,-,-,1,0,0,-,-,-,-,-,-,-,-,-,1,0,0
MB6_S20_48422,-,-,-,-,-,-,1,0,0,-,-,-,-,-,-,-,-,-,1,0,0,-,-,-,-,-,-,-,-,-,1,0.12,0.12,-,-,-,-,-,-,-,-,-,1,0,0,-,-,-,-,-,-,-,-,-,1,0,0,-,-,-,-,-,-,-,-,-,1,0,0,-,-,-,-,-,-,-,-,-,1,0,0,-,-,-,-,-,-,-,-,-,1,2.49,2.49,-,-,-,-,-,-,-,-,-,1,0,0,-,-,-,-,-,-,-,-,-,1,0,0,-,-,-,-,-,-,-,-,-,1,0,0,-,-,-,-,-,-,-,-,-,1,0,0,-,-,-,-,-,-,-,-,-,1,0,0,-,-,-,-,-,-,-,-,-,1,0,0,-,-,-,-,-,-,-,-,-,1,0,0,-,-,-,-,-,-,-,-,-,1,0,0,-,-,-,-,-,-,-,-,-,1,0,0,-,-,-,-,-,-,-,-,-,1,0,0,-,-,-
MB6_S21_48394,-,-,-,-,-,-,-,-,-,1,0,0,-,-,-,-,-,-,-,-,-,1,0.65,0.65,-,-,-,-,-,-,-,-,-,1,0,0,-,-,-,-,-,-,-,-,-,1,0.43,0.43,-,-,-,-,-,-,-,-,-,1,0,0,-,-,-,-,-,-,-,-,-,1,0,0,-,-,-,-,-,-,-,-,-,1,0,0,-,-,-,-,-,-,-,-,-,1,0.36,0.36,-,-,-,-,-,-,-,-,-,1,0,0,-,-,-,-,-,-,-,-,-,1,0,0,-,-,-,-,-,-,-,-,-,1,0,0,-,-,-,-,-,-,-,-,-,1,0.1,0.1,-,-,-,-,-,-,-,-,-,1,0,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,0.36,0.36,-,-,-,-,-,-,-,-,-,1,0,0,-,-,-,-,-,-,-,-,-,1,0,0,-,-,-,-,-,-,-,-,-,1,0.03,0.03
MB6_S22_48632,-,-,-,-,-,-,-,-,-,1,0,0,-,-,-,-,-,-,-,-,-,1,0.03,0.03,-,-,-,-,-,-,-,-,-,1,0,0,-,-,-,-,-,-,-,-,-,1,0,0,-,-,-,-,-,-,-,-,-,1,0,0,-,-,-,-,-,-,-,-,-,1,1.8,1.8,-,-,-,-,-,-,-,-,-,1,0,0,-,-,-,-,-,-,-,-,-,1,0,0,-,-,-,-,-,-,-,-,-,1,0,0,-,-,-,-,-,-,-,-,-,1,1.71,1.71,-,-,-,-,-,-,-,-,-,1,0.01,0.01,-,-,-,-,-,-,-,-,-,1,0,0,-,-,-,-,-,-,-,-,-,1,0,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,0,0,-,-,-,-,-,-,-,-,-,1,1.65,1.65,-,-,-,-,-,-,-,-,-,1,0,0,-,-,-,-,-,-,-,-,-,1,0,0
MB6_S23_48679,-,-,-,1,1.44,1.44,-,-,-,-,-,-,-,-,-,1,0,0,-,-,-,-,-,-,-,-,-,1,0.03,0.03,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,0.07,0.07,-,-,-,-,-,-,-,-,-,1,0,0,-,-,-,-,-,-,-,-,-,1,0,0,-,-,-,-,-,-,-,-,-,1,0,0,-,-,-,-,-,-,-,-,-,1,5.13,5.13,-,-,-,-,-,-,-,-,-,1,2.23,2.23,-,-,-,-,-,-,-,-,-,1,0,0,-,-,-,-,-,-,-,-,-,1,0.04,0.04,-,-,-,-,-,-,-,-,-,1,0.5,0.5,-,-,-,-,-,-,-,-,-,1,0.31,0.31,-,-,-,-,-,-,-,-,-,1,0,0,-,-,-,-,-,-,-,-,-,1,0,0,-,-,-,-,-,-,-,-,-,1,2,2,-,-,-,-,-,-,-,-,-,1,0.93,0.93,-,-,-,-,-,-
MB6_S24_48428,1,0,0,-,-,-,-,-,-,-,-,-,1,0,0,-,-,-,-,-,-,-,-,-,1,0,0,-,-,-,-,-,-,-,-,-,1,0,0,-,-,-,-,-,-,-,-,-,1,0,0,-,-,-,-,-,-,-,-,-,1,0.55,0.55,-,-,-,-,-,-,-,-,-,1,0,0,-,-,-,-,-,-,-,-,-,1,0,0,-,-,-,-,-,-,-,-,-,1,0.5,0.5,-,-,-,-,-,-,-,-,-,1,0,0,-,-,-,-,-,-,-,-,-,1,0,0,-,-,-,-,-,-,-,-,-,1,0,0,-,-,-,-,-,-,-,-,-,1,0,0,-,-,-,-,-,-,-,-,-,1,0.8,0.8,-,-,-,-,-,-,-,-,-,1,0,0,-,-,-,-,-,-,-,-,-,1,0,0,-,-,-,-,-,-,-,-,-,1,0,0,-,-,-,-,-,-,-,-,-,1,0.46,0.46,-,-,-,-,-,-,-,-,-
MB6_S25_48390,-,-,-,-,-,-,-,-,-,1,0,0,-,-,-,-,-,-,-,-,-,1,0,0,-,-,-,-,-,-,-,-,-,1,0,0,-,-,-,-,-,-,-,-,-,1,0.02,0.02,-,-,-,-,-,-,-,-,-,1,0,0,-,-,-,-,-,-,-,-,-,1,0.12,0.12,-,-,-,-,-,-,-,-,-,1,0,0,-,-,-,-,-,-,-,-,-,1,0,0,-,-,-,-,-,-,-,-,-,1,0.39,0.39,-,-,-,-,-,-,-,-,-,1,0,0,-,-,-,-,-,-,-,-,-,1,0,0,-,-,-,-,-,-,-,-,-,1,0,0,-,-,-,-,-,-,-,-,-,1,0.44,0.44,-,-,-,-,-,-,-,-,-,1,0,0,-,-,-,-,-,-,-,-,-,1,0.32,0.32,-,-,-,-,-,-,-,-,-,1,0,0,-,-,-,-,-,-,-,-,-,1,0.35,0.35,-,-,-,-,-,-,-,-,-,1,0.33,0.33
MB6_S26_48655,1,0,0,-,-,-,-,-,-,-,-,-,1,0,0,-,-,-,-,-,-,-,-,-,1,0,0,-,-,-,-,-,-,-,-,-,1,3.83,3.83,-,-,-,-,-,-,-,-,-,1,0,0,-,-,-,-,-,-,-,-,-,1,0,0,-,-,-,-,-,-,-,-,-,1,0.13,0.13,-,-,-,-,-,-,-,-,-,1,0.15,0.15,-,-,-,-,-,-,-,-,-,1,0,0,-,-,-,-,-,-,-,-,-,1,0.1,0.1,-,-,-,-,-,-,-,-,-,1,0,0,-,-,-,-,-,-,-,-,-,1,0.07,0.07,-,-,-,-,-,-,-,-,-,1,0.06,0.06,-,-,-,-,-,-,-,-,-,1,0.21,0.21,-,-,-,-,-,-,-,-,-,1,0.16,0.16,-,-,-,-,-,-,-,-,-,1,0.11,0.11,-,-,-,-,-,-,-,-,-,1,0,0,-,-,-,-,-,-,-,-,-,1,0,0,-,-,-,-,-,-,-,-,-
MB6_S27_48384,-,-,-,-,-,-,1,0,0,-,-,-,-,-,-,-,-,-,1,0,0,-,-,-,-,-,-,-,-,-,1,0,0,-,-,-,-,-,-,-,-,-,1,0,0,-,-,-,-,-,-,-,-,-,1,0,0,-,-,-,-,-,-,-,-,-,1,0,0,-,-,-,-,-,-,-,-,-,1,0,0,-,-,-,-,-,-,-,-,-,1,0.42,0.42,-,-,-,-,-,-,-,-,-,1,0,0,-,-,-,-,-,-,-,-,-,1,0,0,-,-,-,-,-,-,-,-,-,1,0,0,-,-,-,-,-,-,-,-,-,1,0.52,0.52,-,-,-,-,-,-,-,-,-,1,0,0,-,-,-,-,-,-,-,-,-,1,0,0,-,-,-,-,-,-,-,-,-,1,0,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,0,0,-,-,-,-,-,-,-,-,-,1,0,0,-,-,-
MB6_S28_48913,-,-,-,1,0,0,-,-,-,-,-,-,-,-,-,1,0,0,-,-,-,-,-,-,-,-,-,1,0,0,-,-,-,-,-,-,-,-,-,1,0.56,0.56,-,-,-,-,-,-,-,-,-,1,0,0,-,-,-,-,-,-,-,-,-,1,0,0,-,-,-,-,-,-,-,-,-,1,0,0,-,-,-,-,-,-,-,-,-,1,0,0,-,-,-,-,-,-,-,-,-,1,0,0,-,-,-,-,-,-,-,-,-,1,0,0,-,-,-,-,-,-,-,-,-,1,0,0,-,-,-,-,-,-,-,-,-,1,0.1,0.1,-,-,-,-,-,-,-,-,-,1,0,0,-,-,-,-,-,-,-,-,-,1,0,0,-,-,-,-,-,-,-,-,-,1,0,0,-,-,-,-,-,-,-,-,-,1,1.51,1.51,-,-,-,-,-,-,-,-,-,1,0,0,-,-,-,-,-,-,-,-,-,1,0,0,-,-,-,-,-,-
MB6_S29_48854,-,-,-,-,-,-,1,0,0,-,-,-,-,-,-,-,-,-,1,0,0,-,-,-,-,-,-,-,-,-,1,0,0,-,-,-,-,-,-,-,-,-,1,0,0,-,-,-,-,-,-,-,-,-,1,1.82,1.82,-,-,-,-,-,-,-,-,-,1,0.01,0.01,-,-,-,-,-,-,-,-,-,1,3.84,3.84,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,0.52,0.52,-,-,-,-,-,-,-,-,-,1,0,0,-,-,-,-,-,-,-,-,-,1,1.52,1.52,-,-,-,-,-,-,-,-,-,1,11.88,11.88,-,-,-,-,-,-,-,-,-,1,0,0,-,-,-,-,-,-,-,-,-,1,0.95,0.95,-,-,-,-,-,-,-,-,-,1,0.26,0.26,-,-,-,-,-,-,-,-,-,1,0,0,-,-,-,-,-,-,-,-,-,1,0.63,0.63,-,-,-
